"Timestamp","Passo","Prompt ID","Severidade","Linha (Config extra)","Parâmetro","Funcionalidade","Problema","Sugestão","pipeline_name","action","var","result","details","pipeline_name"
"08/03/2026 20:06:09","0","PIPELINE_MAKER","ALERTA","","OPENAI_API_KEY","Comunicacao com a API e validacao tecnica do pedido.
ACAO EM CURSO: Leitura de configuracao e metadados do passo | Validacao de disponibilidade da chave API em Config","Config!B1 contém API key literal, mas OPENAI_API_KEY do ambiente foi priorizada. Recomenda-se remover a key literal da folha Config.","Sem ação imediata; recomendado migrar para variável de ambiente.","","","","","",""
"08/03/2026 20:06:09","0","PIPELINE_MAKER","INFO","","PIPELINE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Validacao de transicao de Next PROMPT | Aplicacao de limites de execucao da pipeline | Controlo de transicao/limites da pipeline | contexto: inputFolder=[C:\Users\pnico\OneDrive - Universidade de Lisboa\Investigação - TÉCNICA IA\PIPELINE_MAKER]","Inicio pipeline. startId=[PIPELINE_MAKER/01/WF_PROMPT_AUDIT/v1.3] maxSteps=10 maxRep=3 inputFolder=[C:\Users\pnico\OneDrive - Universidade de Lisboa\Investigação - TÉCNICA IA\PIPELINE_MAKER]","OK","","","","","",""
"08/03/2026 20:06:09","1","PIPELINE_MAKER/01/WF_PROMPT_AUDIT/v1.3","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=enter_step","stage=enter_step | row=1/1","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"08/03/2026 20:06:09","1","PIPELINE_MAKER/01/WF_PROMPT_AUDIT/v1.3","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=before_context_inject","stage=before_context_inject","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"08/03/2026 20:06:09","1","PIPELINE_MAKER/01/WF_PROMPT_AUDIT/v1.3","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=catalog_loaded | prompt=9553","stage=catalog_loaded | lenPrompt=9553","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"08/03/2026 20:06:09","1","PIPELINE_MAKER/01/WF_PROMPT_AUDIT/v1.3","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=after_context_inject","stage=after_context_inject | injectOk=SIM","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"08/03/2026 20:06:09","1","PIPELINE_MAKER/01/WF_PROMPT_AUDIT/v1.3","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=before_inputs_attach","stage=before_inputs_attach","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"08/03/2026 20:06:09","1","PIPELINE_MAKER/01/WF_PROMPT_AUDIT/v1.3","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=after_inputs_attach | prompt=9553","stage=after_inputs_attach | lenPrompt=9553","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"08/03/2026 20:06:09","1","PIPELINE_MAKER/01/WF_PROMPT_AUDIT/v1.3","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=config_parse_start","stage=config_parse_start | lenConfigExtra=262","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"08/03/2026 20:06:09","1","PIPELINE_MAKER/01/WF_PROMPT_AUDIT/v1.3","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=config_parsed","stage=config_parsed | lenAudit=288|lenInputJson=0","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"08/03/2026 20:06:09","1","PIPELINE_MAKER/01/WF_PROMPT_AUDIT/v1.3","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=files_prepare_skip","stage=files_prepare_skip | temFiles=NAO","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
